DNA_BWT_RUNL	"Sem\ BWT"	L=100	L=500	L=1000	L=10000
"DNA\ 50MB""	1.0132214355	1.0473208237	1.031473999	1.0355843925	1.0233694267
"DNA\ 100MB"	1.0128451633	1.0551780987	1.0315697289	1.0357157612	1.0236383915
"DNA\ 200MB"	1.0209260798	1.0549546671	1.031456399	1.0356198645	1.0236122799
